text_a	text_b	label
it might be the best sit down food i've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.	food	1
it might be the best sit down food i've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.	place	2
hostess was extremely accommodating when we arrived an hour early for our reservation.	staff	1
hostess was extremely accommodating when we arrived an hour early for our reservation.	miscellaneous	2
we were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.	miscellaneous	2
we were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.	staff	0
though the service might be a little slow, the waitresses are very friendly.	service	0
though the service might be a little slow, the waitresses are very friendly.	staff	1
although we arrived at the restaurant 10 min late, the hostess did not have a table for us.	staff	0
although we arrived at the restaurant 10 min late, the hostess did not have a table for us.	miscellaneous	2
i like the smaller portion size for dinner.	miscellaneous	0
i like the smaller portion size for dinner.	food	2
the bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.	food	2
the bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.	price	1
the bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.	miscellaneous	2
) other food is served in too-small portions, but at least it leaves room for dessert.	miscellaneous	0
) other food is served in too-small portions, but at least it leaves room for dessert.	food	2
it was very loud, i felt too crowded, the man chair's next to me made it impossible for the waiters to pass.	miscellaneous	2
it was very loud, i felt too crowded, the man chair's next to me made it impossible for the waiters to pass.	staff	0
after ordering drinks, we both decided on the paella vallenciana, brought out on hot plates.	food	2
after ordering drinks, we both decided on the paella vallenciana, brought out on hot plates.	miscellaneous	1
portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.	miscellaneous	1
portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.	staff	1
portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.	food	2
i had to ask for bread for the table (several times).	food	0
i had to ask for bread for the table (several times).	miscellaneous	2
specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.	food	2
specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.	miscellaneous	1
after reading other reviews i was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.	service	0
after reading other reviews i was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.	staff	1
i was told by the hostess that a specific table would be mine once the customers left and i waited 45 minutes for that to happen.	staff	0
i was told by the hostess that a specific table would be mine once the customers left and i waited 45 minutes for that to happen.	miscellaneous	2
towards the end of our meal, a server came out, apparently our orders had been double-filled.	food	2
towards the end of our meal, a server came out, apparently our orders had been double-filled.	staff	0
the food the casual middle eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.	menu	1
the food the casual middle eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.	place	2
upon entering, i was impressed by the room while the food on other peoples' tables seemed enticing.	food	2
upon entering, i was impressed by the room while the food on other peoples' tables seemed enticing.	place	1
the beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.	staff	1
the beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.	food	2
i found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what you like, creating a unique experience.	food	1
i found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what you like, creating a unique experience.	staff	1
i found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what you like, creating a unique experience.	ambience	2
came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.	food	0
came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.	service	2
our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.	staff	0
our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.	food	2
