text_a	text_b	label
the decor is not special at all but their food and amazing prices make up for it.	decor	0
the decor is not special at all but their food and amazing prices make up for it.	food	1
the decor is not special at all but their food and amazing prices make up for it.	prices	1
when tables opened up, the manager sat another party before us.	tables	2
when tables opened up, the manager sat another party before us.	manager	0
though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including japan.	menu	2
though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including japan.	peanut butter roll	0
though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including japan.	classics	1
though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including japan.	sushi	1
service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.	service	1
service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.	food	2
ps- i just went for brunch on saturday and the eggs served with onions and rosemary were amazing.	brunch	2
ps- i just went for brunch on saturday and the eggs served with onions and rosemary were amazing.	eggs served with onions	1
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that i had already ordered and i should've decided earlier.	menu	2
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that i had already ordered and i should've decided earlier.	guy	0
the server came to us and was sooo hot, he went over the menu and specials with us.	server	1
the server came to us and was sooo hot, he went over the menu and specials with us.	menu	2
the food the best surprises on the el salvadorean menu are the appetizers.	food	2
the food the best surprises on the el salvadorean menu are the appetizers.	appetizers	1
12/24/03  dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before christmas eve for three people, you would think the table would be large enough for all three of us.	dinner	1
12/24/03  dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before christmas eve for three people, you would think the table would be large enough for all three of us.	service	2
12/24/03  dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before christmas eve for three people, you would think the table would be large enough for all three of us.	hostess	0
still, after all the fuss, the food makes you forget about the wait.	food	1
still, after all the fuss, the food makes you forget about the wait.	wait	2
i had to physically get out of my seat and find the waitress twice just to ask for more water.	seat	2
i had to physically get out of my seat and find the waitress twice just to ask for more water.	waitress	0
i had to physically get out of my seat and find the waitress twice just to ask for more water.	water	2
when we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.	bartender	0
when we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.	drinks	2
three course meal for lunch was $13, the prices for dinner were just as great!	course meal	2
three course meal for lunch was $13, the prices for dinner were just as great!	lunch	2
three course meal for lunch was $13, the prices for dinner were just as great!	prices	1
three course meal for lunch was $13, the prices for dinner were just as great!	dinner	2
but such remark depicts the worldly somelier/owner/janitor of lpf, who is a true gourmand savvy not only in wine but in the basics of good eat.	wine	2
but such remark depicts the worldly somelier/owner/janitor of lpf, who is a true gourmand savvy not only in wine but in the basics of good eat.	eat	1
the service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.	service	1
